Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
08.01.2024 23:00 - 09.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,110.0,88.83,EUR,MARGINAL
09.01.2024 00:00 - 09.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,85.43,EUR,MARGINAL
09.01.2024 01:00 - 09.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,84.34,EUR,MARGINAL
09.01.2024 02:00 - 09.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,82.54,EUR,MARGINAL
09.01.2024 03:00 - 09.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,81.7,EUR,MARGINAL
09.01.2024 04:00 - 09.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,92.0,83.23,EUR,MARGINAL
09.01.2024 05:00 - 09.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,98.0,86.34,EUR,MARGINAL
09.01.2024 06:00 - 09.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,120.0,88.98,EUR,MARGINAL
09.01.2024 07:00 - 09.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,135.0,94.88,EUR,MARGINAL
09.01.2024 08:00 - 09.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,250.0,129.11,EUR,MARGINAL
09.01.2024 09:00 - 09.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,250.0,117.16,EUR,MARGINAL
09.01.2024 10:00 - 09.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,250.0,109.91,EUR,MARGINAL
09.01.2024 11:00 - 09.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,493.48,102.5,EUR,MARGINAL
09.01.2024 12:00 - 09.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,126.0,97.11,EUR,MARGINAL
