ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
07/01/2023 04:00:00 - 07/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,85.65,85.65
07/01/2023 05:00:00 - 07/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,86.26,86.26
07/01/2023 06:00:00 - 07/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,93.67,59.0
07/01/2023 07:00:00 - 07/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,105.75,75.0
07/01/2023 08:00:00 - 07/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,111.86,84.5
07/01/2023 09:00:00 - 07/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.0,84.5
07/01/2023 10:00:00 - 07/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,128.0,106.78
07/01/2023 11:00:00 - 07/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,119.0,101.2
07/01/2023 12:00:00 - 07/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,119.0,101.49
07/01/2023 13:00:00 - 07/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,107.0,99.99
07/01/2023 14:00:00 - 07/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,99.92,99.92
07/01/2023 15:00:00 - 07/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,115.67,99.4
07/01/2023 16:00:00 - 07/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.0,99.99
07/01/2023 17:00:00 - 07/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,123.0,101.56
07/01/2023 18:00:00 - 07/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,132.0,102.71
07/01/2023 19:00:00 - 07/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,127.0,97.61
07/01/2023 20:00:00 - 07/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,97.16,90.67
07/01/2023 21:00:00 - 07/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,97.16,74.59
07/01/2023 22:00:00 - 07/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,85.0,64.96
07/01/2023 23:00:00 - 08/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,39.47,23.38
08/01/2023 00:00:00 - 08/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,30.0,24.44
08/01/2023 01:00:00 - 08/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,30.0,9.36
08/01/2023 02:00:00 - 08/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,30.0,9.39
08/01/2023 03:00:00 - 08/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,4.29,4.29
08/01/2023 04:00:00 - 08/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,25.91,5.76
08/01/2023 05:00:00 - 08/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,33.0,10.24
08/01/2023 06:00:00 - 08/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,30.0,9.31
08/01/2023 07:00:00 - 08/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,25.91,12.0
08/01/2023 08:00:00 - 08/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,51.18,51.18
08/01/2023 09:00:00 - 08/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,85.28,85.28
08/01/2023 10:00:00 - 08/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,96.7,96.7
08/01/2023 11:00:00 - 08/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,106.34,106.34
08/01/2023 12:00:00 - 08/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,104.94,104.94
08/01/2023 13:00:00 - 08/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,102.17,102.17
08/01/2023 14:00:00 - 08/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,107.53,107.53
08/01/2023 15:00:00 - 08/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,106.95,106.95
08/01/2023 16:00:00 - 08/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,128.0,112.02
08/01/2023 17:00:00 - 08/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,128.0,118.04
08/01/2023 18:00:00 - 08/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.0,119.12
08/01/2023 19:00:00 - 08/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,112.6,112.6
08/01/2023 20:00:00 - 08/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,107.26,107.26
08/01/2023 21:00:00 - 08/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,117.0,101.58
08/01/2023 22:00:00 - 08/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.0,102.34
08/01/2023 23:00:00 - 09/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,115.0,84.03
09/01/2023 00:00:00 - 09/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,100.0,77.61
09/01/2023 01:00:00 - 09/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,71.91,25.91
09/01/2023 02:00:00 - 09/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,62.27,19.66
09/01/2023 03:00:00 - 09/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,49.09,2.5
09/01/2023 04:00:00 - 09/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,74.0,10.0
09/01/2023 05:00:00 - 09/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,93.37,30.0
09/01/2023 06:00:00 - 09/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,110.35,76.5
